epoch=001 val_auc=0.8037 val_f1=0.6024 size_acc=0.1884 depth_acc=0.2158
epoch=002 val_auc=0.8418 val_f1=0.6432 size_acc=0.2568 depth_acc=0.2877
epoch=003 val_auc=0.8463 val_f1=0.6587 size_acc=0.3116 depth_acc=0.1301
epoch=004 val_auc=0.8479 val_f1=0.6537 size_acc=0.3219 depth_acc=0.1747
epoch=005 val_auc=0.8507 val_f1=0.6600 size_acc=0.3288 depth_acc=0.1747
epoch=006 val_auc=0.8581 val_f1=0.6718 size_acc=0.2945 depth_acc=0.1096
epoch=007 val_auc=0.8577 val_f1=0.6747 size_acc=0.3699 depth_acc=0.1199
epoch=008 val_auc=0.8643 val_f1=0.6684 size_acc=0.3322 depth_acc=0.0959
epoch=009 val_auc=0.8541 val_f1=0.6601 size_acc=0.3493 depth_acc=0.1404
epoch=010 val_auc=0.8611 val_f1=0.6693 size_acc=0.3938 depth_acc=0.1438
epoch=011 val_auc=0.8490 val_f1=0.6691 size_acc=0.5103 depth_acc=0.1644
epoch=012 val_auc=0.8618 val_f1=0.6716 size_acc=0.3870 depth_acc=0.1336
epoch=013 val_auc=0.8651 val_f1=0.6867 size_acc=0.3699 depth_acc=0.1130
epoch=014 val_auc=0.8541 val_f1=0.6585 size_acc=0.4418 depth_acc=0.2329
epoch=015 val_auc=0.8631 val_f1=0.6822 size_acc=0.4932 depth_acc=0.1438
epoch=016 val_auc=0.8425 val_f1=0.6507 size_acc=0.4658 depth_acc=0.1712
epoch=017 val_auc=0.8491 val_f1=0.6658 size_acc=0.5308 depth_acc=0.1267
epoch=018 val_auc=0.8501 val_f1=0.6619 size_acc=0.5788 depth_acc=0.1541
epoch=019 val_auc=0.8665 val_f1=0.6959 size_acc=0.5685 depth_acc=0.1473
epoch=020 val_auc=0.8511 val_f1=0.6612 size_acc=0.5445 depth_acc=0.1541
epoch=021 val_auc=0.8524 val_f1=0.6693 size_acc=0.5685 depth_acc=0.1575
epoch=022 val_auc=0.8629 val_f1=0.6862 size_acc=0.5445 depth_acc=0.1712
epoch=023 val_auc=0.8563 val_f1=0.6716 size_acc=0.5445 depth_acc=0.1199
epoch=024 val_auc=0.8389 val_f1=0.6523 size_acc=0.5685 depth_acc=0.1541
epoch=025 val_auc=0.8445 val_f1=0.6594 size_acc=0.5616 depth_acc=0.1644
epoch=026 val_auc=0.8565 val_f1=0.6768 size_acc=0.5582 depth_acc=0.1370
epoch=027 val_auc=0.8541 val_f1=0.6693 size_acc=0.5651 depth_acc=0.1644
epoch=028 val_auc=0.8442 val_f1=0.6510 size_acc=0.5719 depth_acc=0.1747
epoch=029 val_auc=0.8564 val_f1=0.6643 size_acc=0.5719 depth_acc=0.1644
epoch=030 val_auc=0.8511 val_f1=0.6635 size_acc=0.5856 depth_acc=0.1747
epoch=031 val_auc=0.8537 val_f1=0.6619 size_acc=0.5719 depth_acc=0.1541
Saved summary to: C:\Users\SWH\Desktop\GitHub_Docs_Package\latest_algorithm\runs\shared_cnn_mstcn_cascade_file3_20260426_active_best\summary.json
